Unnamed: 0,review_id,product_id,reviewer_id,stars,review_body,review_title,language,product_category,sentiment
1323,de_0839988,product_de_0169864,reviewer_de_0107649,2,"Leider geht immer mal wieder die Systemzeit verloren. Somit macht das Gerät tagsüber Bilder statt nachts. Dann hat man auf einmal tausende belanglose Fotos auf der SD Karte Sonst funktioniert das Gerät ganz zufriedenstellend. Durch den Fehler kann ich die Kamera nur bedingt brauchen, da man keine Zeiten programmieren kann. Batterielaufzeit entspricht der Beschreibung. Auch die Fotos sehen ganz gut aus.",Verliert ständig Systemzeit,de,sports,negative
21271,ja_0732043,product_ja_0153370,reviewer_ja_0799045,2,すぐに接続が切れてしまい、自動で復旧も出来ない。 日本のコンセントにはデカすぎて、2つのコンセントを占領してしまう。,微妙。,ja,home_improvement,negative
5261,en_0671368,product_en_0447229,reviewer_en_0463136,1,"The book is a good quality. However, it is very inaccurate on it’s scientific principles. I have never read such a book before. Nothing in it is accurate.",Not worth a dime.,en,book,negative
26302,zh_0351452,product_zh_0353832,reviewer_zh_0557816,2,远没有想象的厚，看看克数，实际上和酒店的毛巾差得很远。,远没有想象的厚,zh,home,negative
308,de_0534860,product_de_0352488,reviewer_de_0430105,1,"Der Rucksack stinkt fürchterlich! Selbst nach mehrfachen Waschen geht der Gestank nicht weg! Schade, da er sonst sehr praktisch gemacht ist. Aber so ist er das Geld nicht wert. Ist im Müll gelandet!",Stinkt total nach Chemie!,de,sports,negative
553,de_0660633,product_de_0445091,reviewer_de_0864286,1,"Sobald man den Adapter einsteckt, funktioniert keine WiFi Verbindung mehr :( einzige Abhilfe die ich im Internet gefunden habe - den Adapter mit Alu Folie umwickeln, aber das ist nicht im Sinne des Erfinders.",Unbrauchbar,de,electronics,negative
6550,en_0819224,product_en_0144768,reviewer_en_0846034,2,This did not have an adaptor to fix the tubing needed for my small outdoor fountain. Also the plug is not intended to be used outdoors as it is not waterproof or grounded (three prong). And very short cord.,did not work for outdoor fountain,en,lawn_and_garden,negative
710,de_0776838,product_de_0152547,reviewer_de_0276368,1,"Das Armband passt garnicht an die Uhr, weil das Verbindungsstück statt 20mm, 21mm groß ist und garnicht rein passt",Das Verbindungsstück vom Armband ist zu groß,de,electronics,negative
16263,fr_0969097,product_fr_0375992,reviewer_fr_0185064,2,"Un petit roman sans prétention. L'écriture manque réellement de fluidité et d'énergie. La concordance des temps laisse à désirer. Ce roman est plein de bonnes intentions, c'est une sorte de condensés de formules magiques, ""feel good"", comme on en trouve chez tous les auteurs ""feel good"" actuels. Ce petit roman ne sort donc malheureusement pas du lot malgré une bonne intention et volonté de départ. Beaucoup de citations, pensées, arrivent comme un cheveux sur la soupe et c'est ce qui fait perdre en vitalité et fluidité ce roman. C'est dommage.",Manque de fluidité et bourré de banalités,fr,digital_ebook_purchase,negative
15204,fr_0306209,product_fr_0910943,reviewer_fr_0781718,1,"Encore un colis perdu ,je n'ai pas reçu les livres,ils se promènent encore dans la nature j'en ai marre,c'est INADMISSIBLE",RECEVOIR SON COLIS,fr,book,negative
323,de_0255348,product_de_0711465,reviewer_de_0936265,1,Ich habe diese teile auch am 30 Oktober noch nicht erhalten.,Stecknuss Adapter Adapter Set,de,home_improvement,negative
6545,en_0193511,product_en_0934498,reviewer_en_0201641,2,Gets caught in loops where velcro meets,Stays put with velcro,en,sports,negative
15311,fr_0336487,product_fr_0017490,reviewer_fr_0754519,1,Déjà cassée ! De la grosse daube... Très fragile. Je déconseille... Déjà pour soutenir un gros téléphone c'est limite si ça tient mais alors là c'est carrément cassé...,Fragile et pas fait pour gros téléphone,fr,wireless,negative
10981,es_0818500,product_es_0869043,reviewer_es_0223678,1,"Imposible escribir con normalidad, el trazo se entrecorta con demasiada facilidad","Malo, malo",es,office_product,negative
15185,fr_0647502,product_fr_0819991,reviewer_fr_0455454,1,Aucun moustic et insectes n'a été piégé dans ce truc.... peut servir de veilleuse....,Inutile contre les insectes,fr,lawn_and_garden,negative
228,de_0443543,product_de_0344386,reviewer_de_0496575,1,Schlechte Qualität. Falsch zugeschnitten. Aufdruck kaum lesbar. In weiß bestellt worden (nach Abbildung in Amazon) und dann in braun-rot geliefert worden! Unmöglich!,Nicht kaufen!,de,furniture,negative
11117,es_0506369,product_es_0901955,reviewer_es_0603994,2,"Ha subido 10€ en un año, vaya tela. El producto está muy bien y es divertido la pega es la batería que dura poco",Subiendo precios,es,toy,negative
21756,ja_0374676,product_ja_0894275,reviewer_ja_0270810,2,買い合わせのために購入。 倉庫の臭いなのか、、、？汗臭いようなホコリ臭いのような臭いがティッシュについていて、使うたびに気になりました。家族の中には気にならない者もいましたが、わたしには辛かったです。 定番品なので、こちらで買えるとたすかるのですが、、、残念ながら次は買いません。,臭いが,ja,drugstore,negative
21894,ja_0009078,product_ja_0136301,reviewer_ja_0519901,2,色々な 表現 意見など ありますが １番駄目なのは スティックレバーの 感触 ストローク？ あそび？というか大きく バランスがわるい。 方向感覚が 無に近く、八方向で カチッとしてくれない あとつけの コントローラ スティックと、早急に増産 お願いしますよ 転売とか 6000とかで うられてますからね,ざっくり言えば スティックレバーが駄目です,ja,video_games,negative
11977,es_0104036,product_es_0847658,reviewer_es_0252841,2,Es muy alto de tiro y las cuerdas no tienen nada que ver con la foto.,Opinion,es,apparel,negative
465,de_0657987,product_de_0745981,reviewer_de_0290271,1,"Das Panzerglas hält nicht was die ganzen Rezensionen versprechen. Touch ist eingeschränkt, sodass beim tippen zB. Buchstaben nicht erkannt werden. Ausserdem ist es schon sehr komisch, dass die 5 Sterne Bewertungen keine verifizierten Käufe sind und immer das gleiche Datum haben.",Fake Rezensionen,de,wireless,negative
10638,es_0677163,product_es_0723843,reviewer_es_0227462,1,He comprado el producto con un contenido anunciado de 500 ml. Sin embargo me envían un bote de 200 ml. Con esto ya está todo dicho. Gracias.,Contenido muy inferior,es,pet_products,negative
16946,fr_0288588,product_fr_0412022,reviewer_fr_0472805,2,"J'ai commandé cette batterie pour remplacer ma batterie d'origine sur mon G4. La livraison a été faite dans les temps, le produit à les mêmes dimensions et même physique que la batterie d'origine. Après l'avoir rechargé à bloc, j'ai démarré mon G4. sur l'écran de démarrage, le téléphone m'indique que la batterie n'est pas d'origine, puis au bout de 5 minutes, le téléphone s'éteint automatiquement car il détecte une batterie pas d'origine. J'ai donc renvoyer le produit.",Tout simplement pas compatbile,fr,wireless,negative
21543,ja_0452503,product_ja_0875478,reviewer_ja_0819941,2,ふたつ使って充電すると熱くなりすぎて床が焦げるかと思った。 素手では触れないぐらい暑くなった,失敗した,ja,wireless,negative
5782,en_0656960,product_en_0854610,reviewer_en_0716784,1,It broke after a couple of days used in the water,One Star,en,camera,negative
26871,zh_0488416,product_zh_0179364,reviewer_zh_0417361,2,这次不知真假，反正用了一瓶就有了很多头屑。之前常用没有这种情况。,是真的？,zh,beauty,negative
